blok,hucre_id,seed_key_hucre,kol,k_true,rho_hedef,sigma,gurultu,rho_max,theta_min,ratio,verdict,rho_mean,d_eff,siniflar,phi,n_per_cluster,kume_boyutlari,sigma_vektoru,atama_id,aykiri_n,aykiri_sigma,jitter,cinsiyet,prototip_set_id,prototip_hash
A_harita,28,28,P_konum,3,r062,0.5,beyaz,0.615,52.1,1.96,orta,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,29,29,P_konum,3,r062,0.5,ar1_097,0.615,52.1,1.96,orta,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,30,30,P_konum,3,r062,0.6,beyaz,0.615,52.1,1.68,orta,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,31,31,P_konum,3,r062,0.6,ar1_097,0.615,52.1,1.68,orta,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,32,32,P_konum,3,r062,0.7,beyaz,0.615,52.1,1.49,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,33,33,P_konum,3,r062,0.7,ar1_097,0.615,52.1,1.49,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,34,34,P_konum,3,r062,0.8,beyaz,0.615,52.1,1.35,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,35,35,P_konum,3,r062,0.8,ar1_097,0.615,52.1,1.35,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,36,36,P_konum,3,r062,0.9,beyaz,0.615,52.1,1.24,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,37,37,P_konum,3,r062,0.9,ar1_097,0.615,52.1,1.24,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,38,38,P_konum,3,r062,1.0,beyaz,0.615,52.1,1.16,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,,10,,,,0,,0,,,
A_harita,39,39,P_konum,3,r062,1.0,ar1_097,0.615,52.1,1.16,zor,0.43,1.99,peak@1944w15 | peak@1952w15 | peak@1960w15,0.97,10,,,,0,,0,,,
A_harita,40,40,P_konum,3,r078,0.1,beyaz,0.765,40.1,7.03,kolay,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,,10,,,,0,,0,,,
A_harita,41,41,P_konum,3,r078,0.1,ar1_097,0.765,40.1,7.03,kolay,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,0.97,10,,,,0,,0,,,
A_harita,42,42,P_konum,3,r078,0.2,beyaz,0.765,40.1,3.55,kolay,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,,10,,,,0,,0,,,
A_harita,43,43,P_konum,3,r078,0.2,ar1_097,0.765,40.1,3.55,kolay,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,0.97,10,,,,0,,0,,,
A_harita,44,44,P_konum,3,r078,0.3,beyaz,0.765,40.1,2.4,orta,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,,10,,,,0,,0,,,
A_harita,45,45,P_konum,3,r078,0.3,ar1_097,0.765,40.1,2.4,orta,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,0.97,10,,,,0,,0,,,
A_harita,46,46,P_konum,3,r078,0.4,beyaz,0.765,40.1,1.84,orta,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,,10,,,,0,,0,,,
A_harita,47,47,P_konum,3,r078,0.4,ar1_097,0.765,40.1,1.84,orta,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,0.97,10,,,,0,,0,,,
A_harita,48,48,P_konum,3,r078,0.5,beyaz,0.765,40.1,1.51,orta,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,,10,,,,0,,0,,,
A_harita,49,49,P_konum,3,r078,0.5,ar1_097,0.765,40.1,1.51,orta,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,0.97,10,,,,0,,0,,,
A_harita,50,50,P_konum,3,r078,0.6,beyaz,0.765,40.1,1.3,zor,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,,10,,,,0,,0,,,
A_harita,51,51,P_konum,3,r078,0.6,ar1_097,0.765,40.1,1.3,zor,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,0.97,10,,,,0,,0,,,
A_harita,52,52,P_konum,3,r078,0.7,beyaz,0.765,40.1,1.15,zor,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,,10,,,,0,,0,,,
A_harita,53,53,P_konum,3,r078,0.7,ar1_097,0.765,40.1,1.15,zor,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,0.97,10,,,,0,,0,,,
A_harita,54,54,P_konum,3,r078,0.8,beyaz,0.765,40.1,1.04,zor,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,,10,,,,0,,0,,,
A_harita,55,55,P_konum,3,r078,0.8,ar1_097,0.765,40.1,1.04,zor,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,0.97,10,,,,0,,0,,,
A_harita,56,56,P_konum,3,r078,0.9,beyaz,0.765,40.1,0.96,zor,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,,10,,,,0,,0,,,
A_harita,57,57,P_konum,3,r078,0.9,ar1_097,0.765,40.1,0.96,zor,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,0.97,10,,,,0,,0,,,
A_harita,58,58,P_konum,3,r078,1.0,beyaz,0.765,40.1,0.89,zor,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,,10,,,,0,,0,,,
A_harita,59,59,P_konum,3,r078,1.0,ar1_097,0.765,40.1,0.89,zor,0.611,1.63,peak@1946w15 | peak@1952w15 | peak@1958w15,0.97,10,,,,0,,0,,,
A_harita,60,60,P_konum,4,r045,0.1,beyaz,0.456,62.9,11.01,kolay,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,,10,,,,0,,0,,,
A_harita,61,61,P_konum,4,r045,0.1,ar1_097,0.456,62.9,11.01,kolay,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,0.97,10,,,,0,,0,,,
A_harita,62,62,P_konum,4,r045,0.2,beyaz,0.456,62.9,5.56,kolay,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,,10,,,,0,,0,,,
A_harita,63,63,P_konum,4,r045,0.2,ar1_097,0.456,62.9,5.56,kolay,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,0.97,10,,,,0,,0,,,
A_harita,64,64,P_konum,4,r045,0.3,beyaz,0.456,62.9,3.77,kolay,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,,10,,,,0,,0,,,
A_harita,65,65,P_konum,4,r045,0.3,ar1_097,0.456,62.9,3.77,kolay,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,0.97,10,,,,0,,0,,,
A_harita,66,66,P_konum,4,r045,0.4,beyaz,0.456,62.9,2.88,orta,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,,10,,,,0,,0,,,
A_harita,67,67,P_konum,4,r045,0.4,ar1_097,0.456,62.9,2.88,orta,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,0.97,10,,,,0,,0,,,
A_harita,68,68,P_konum,4,r045,0.5,beyaz,0.456,62.9,2.37,orta,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,,10,,,,0,,0,,,
A_harita,69,69,P_konum,4,r045,0.5,ar1_097,0.456,62.9,2.37,orta,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,0.97,10,,,,0,,0,,,
A_harita,70,70,P_konum,4,r045,0.6,beyaz,0.456,62.9,2.03,orta,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,,10,,,,0,,0,,,
A_harita,71,71,P_konum,4,r045,0.6,ar1_097,0.456,62.9,2.03,orta,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,0.97,10,,,,0,,0,,,
A_harita,72,72,P_konum,4,r045,0.7,beyaz,0.456,62.9,1.8,orta,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,,10,,,,0,,0,,,
A_harita,73,73,P_konum,4,r045,0.7,ar1_097,0.456,62.9,1.8,orta,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,0.97,10,,,,0,,0,,,
A_harita,74,74,P_konum,4,r045,0.8,beyaz,0.456,62.9,1.63,orta,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,,10,,,,0,,0,,,
A_harita,75,75,P_konum,4,r045,0.8,ar1_097,0.456,62.9,1.63,orta,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,0.97,10,,,,0,,0,,,
A_harita,76,76,P_konum,4,r045,0.9,beyaz,0.456,62.9,1.5,zor,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,,10,,,,0,,0,,,
A_harita,77,77,P_konum,4,r045,0.9,ar1_097,0.456,62.9,1.5,zor,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,0.97,10,,,,0,,0,,,
A_harita,78,78,P_konum,4,r045,1.0,beyaz,0.456,62.9,1.4,zor,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,,10,,,,0,,0,,,
A_harita,79,79,P_konum,4,r045,1.0,ar1_097,0.456,62.9,1.4,zor,0.171,3.0,peak@1937w15 | peak@1947w15 | peak@1957w15 | peak@1967w15,0.97,10,,,,0,,0,,,
A_harita,80,80,P_konum,4,r062,0.1,beyaz,0.615,52.1,9.12,kolay,0.303,2.53,peak@1940w15 | peak@1948w15 | peak@1956w15 | peak@1964w15,,10,,,,0,,0,,,
