Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,CalinskiHarabasz_mean,CalinskiHarabasz_std,Dunn_mean,Dunn_std,Dunn_d2D2_mean,Dunn_d2D2_std,Dunn_d4D1_mean,Dunn_d4D1_std,Dunn_d3D2_mean,Dunn_d3D2_std,ARI_mean,ARI_std,Inertia_mean,Inertia_std
2,-0.18562508400080677,0.0,0.8840827217917645,0.0,0.07151344919344858,0.0,97.20936286752554,0.0,1.259435995128513,0.0,10.376139368922505,0.0,1.7476055346720383,0.0,9.852309959972215,0.0,1.0,0.0,8237477.962500001,9.313225746154785e-10
3,-0.18245040910897836,0.0,0.635145203083437,0.0,0.8136851352875288,0.0,95.85468763424562,1.4210854715202004e-14,0.13423597448292549,0.0,2.1633724825974108,0.0,0.3028354166747185,0.0,0.9767635805448881,6.409875621278546e-17,1.0,0.0,5313671.657444006,0.0
4,-0.19221318934490608,0.0,0.6099076181083649,0.0,0.5898684331356577,0.0,118.11531278913526,1.4210854715202004e-14,0.1577169348502199,0.0,2.0715381211186017,0.0,0.45730211930728326,0.0,1.1049663842810113,0.0,1.0,0.0,3279904.264705883,0.0
5,-0.21369614017428384,0.0024668210137276272,0.5569373183618463,0.002791232159093524,0.6794928932049432,0.005905805064632165,127.28181151645175,0.015877805598483646,0.1914517487278172,2.7755575615628914e-17,1.4954868483166337,0.0,0.4978366582414024,0.008294528760750564,0.901664827757434,0.00927806329380358,0.9660167902229047,0.024029758079869103,2386488.9703185703,259.01579623454245
6,-0.17907083070279106,0.0027821618438881954,0.5349916642585951,0.014194437545047489,0.743314787592512,0.006062616247317901,131.61449422682423,0.13187732615025094,0.19836783629424784,0.03215750044586607,1.4172952092677864,0.0,0.566398845970742,0.04662036805872878,0.7972688866494732,0.04507198356446543,0.8628597814375866,0.09697277851888775,1879796.5987199182,1691.9222379006926
7,-0.18013115277882,0.0024310025434880274,0.4351110817473998,0.03703904457526603,0.8016048413121757,0.025975958782331807,131.10340141069412,1.5251272067752732,0.16513723452380166,0.01180723844509572,0.9626431211674179,0.19055998954068176,0.34994099456126254,0.05174684052043109,0.515878797550933,0.06934774543032943,0.880082255087454,0.0786784025335479,1580029.4607843135,16748.50394384742
8,-0.2369000328210914,0.012373774581296012,0.4881878995086253,0.014654895960650146,0.6730871972219071,0.023804553553830897,128.52733491232476,1.9101911868314005,0.19761461133270167,0.01200987773819301,1.396242497638136,0.0,0.5405711373070949,0.03111149076423889,0.7859947502256902,0.049307998039472105,0.9366932500205541,0.044764632205347515,1379193.6585858583,18776.90201923248
9,-0.27314917837835906,0.02486052953917724,0.4571998925003064,0.03306450521392981,0.6514673986173859,0.035188110736665924,129.1921131198987,1.8838173635020032,0.22313991877984077,0.032870706438466867,1.1557811267375975,0.03936769212411715,0.5481675527133797,0.11901832128258868,0.7326026832400953,0.06640456744360318,0.8532021565403424,0.04946517506197877,1196840.7414918414,16365.577009998562
10,-0.2550898031440823,0.041510618862128104,0.37988066666355863,0.027289864932528798,0.7018024261798738,0.03925642939218982,130.53874039026255,2.6635881456203516,0.18201473169305596,0.05109673751084594,0.9194877574811574,0.13104922297809446,0.3702591810206168,0.08870459683643803,0.5384917167948252,0.09165897701762893,0.7487543917287494,0.04449376444985001,1047485.9485110225,19926.35656355541
